"tarih","gecinme_index"
"2016-01","14062.4"
"2016-02","14244"
"2016-03","14281.5"
"2016-04","14435.1"
"2016-05","14419.6"
"2016-06","14447.1"
"2016-07","14574.1"
"2016-08","14554.1"
"2016-09","14637.8"
"2016-10","14814.3"
"2016-11","14901.9"
"2016-12","15156.9"
"2017-01","15407"
"2017-02","15457.9"
"2017-03","15566.3"
"2017-04","15743.9"
"2017-05","15793.1"
"2017-06","15802.7"
"2017-07","15833.5"
"2017-08","15837.2"
"2017-09","15984.5"
"2017-10","16295.1"
"2017-11","16489.5"
"2017-12","16596.4"
"2018-01","16740.7"
"2018-02","16852.5"
"2018-03","17070.3"
"2018-04","17354.3"
"2018-05","17499.7"
"2018-06","17722"
"2018-07","17813.4"
"2018-08","18211"
"2018-09","18947.3"
"2018-10","19605"
"2018-11","19558"
"2018-12","19530.9"
"2019-01","19753.8"
"2019-02","19948.1"
"2019-03","20098.2"
"2019-04","20662.8"
"2019-05","20872.8"
"2019-06","20668.1"
"2019-07","20677.1"
"2019-08","21199.4"
"2019-09","21435.3"
"2019-10","21816.8"
"2019-11","21914.7"
"2019-12","22149.3"
"2020-01","22278.1"
"2020-02","22530.4"
"2020-03","22604.2"
"2020-04","22838.6"
"2020-05","23332.7"
"2020-06","23348.3"
"2020-07","23450.1"
"2020-08","23589.1"
"2020-09","23934.8"
"2020-10","24521.4"
"2020-11","24997.1"
"2020-12","25337.7"
"2021-01","25632"
"2021-02","26012"
"2021-03","26305.1"
"2021-04","26570.7"
"2021-05","27015.4"
"2021-06","27113.1"
"2021-07","27525.9"
"2021-08","28044.3"
"2021-09","28667.7"
"2021-10","29611.7"
"2021-11","31007.8"
"2021-12","33998.8"
