tarih,faiz_oran
2016-01,14.27
2016-02,14.45
2016-03,14.45
2016-04,14.33
2016-05,13.96
2016-06,13.84
2016-07,13.67
2016-08,12.86
2016-09,12.09
2016-10,12.12
2016-11,11.69
2016-12,11.42
2017-01,11.45
2017-02,11.38
2017-03,11.06
2017-04,11.28
2017-05,11.55
2017-06,11.72
2017-07,12.02
2017-08,12.49
2017-09,12.87
2017-10,13.05
2017-11,13.12
2017-12,13.52
2018-01,14.14
2018-02,14.68
2018-03,14.79
2018-04,14.83
2018-05,13.88
2018-06,13.10
2018-07,16.86
2018-08,18.99
2018-09,25.18
2018-10,28.95
2018-11,28.63
2018-12,27.82
2019-01,26.22
2019-02,22.98
2019-03,18.16
2019-04,17.70
2019-05,20.45
2019-06,21.81
2019-07,21.06
2019-08,14.15
2019-09,12.98
2019-10,13.12
2019-11,12.96
2019-12,12.69
2020-01,11.88
2020-02,11.43
2020-03,11.40
2020-04,11.72
2020-05,11.23
2020-06,9.30
2020-07,9.11
2020-08,11.09
2020-09,14.16
2020-10,15.07
2020-11,15.68
2020-12,18.19
2021-01,18.39
2021-02,17.99
2021-03,17.74
2021-04,18.13
2021-05,17.84
2021-06,17.90
2021-07,17.93
2021-08,17.86
2021-09,17.90
2021-10,17.82
2021-11,17.10
2021-12,17.31
