tarih,arama
2016-01,27
2016-02,31
2016-03,33
2016-04,31
2016-05,32
2016-06,28
2016-07,32
2016-08,39
2016-09,35
2016-10,35
2016-11,34
2016-12,30
2017-01,34
2017-02,41
2017-03,38
2017-04,34
2017-05,32
2017-06,34
2017-07,41
2017-08,37
2017-09,35
2017-10,33
2017-11,32
2017-12,32
2018-01,33
2018-02,35
2018-03,34
2018-04,32
2018-05,34
2018-06,32
2018-07,39
2018-08,36
2018-09,33
2018-10,27
2018-11,23
2018-12,24
2019-01,27
2019-02,30
2019-03,32
2019-04,27
2019-05,26
2019-06,32
2019-07,35
2019-08,45
2019-09,40
2019-10,38
2019-11,35
2019-12,36
2020-01,43
2020-02,41
2020-03,33
2020-04,36
2020-05,59
2020-06,100
2020-07,74
2020-08,71
2020-09,52
2020-10,48
2020-11,43
2020-12,40
2021-01,46
2021-02,44
2021-03,42
2021-04,41
2021-05,48
2021-06,48
2021-07,49
2021-08,49
2021-09,44
2021-10,43
2021-11,44
2021-12,46
